31.0,40.0,34.0,38.0,37.0,37.0,51.0,36.0,37.0,38.0,47.0,34.0,43.0,58.0,49.0,36.0,30.0,34.0,36.0,76.0,42.0,36.0,35.0,43.0,50.0,63.0,57.0,302.0,36.0,32.0,28.0,34.0,34.0,46.0,42.0,38.0,31.0,64.0,46.0,42.0,51.0,35.0,41.0,36.0,33.0,42.0,61.0,36.0,55.0,54.0,37.0,70.0,42.0,45.0,33.0,45.0,61.0,70.0,60.0,51.0,48.0,55.0,99.0,34.0,
41.0,33.0,36.0,59.0,40.0,170.0,62.0,32.0,38.0,41.0,38.0,34.0,35.0,36.0,46.0,101.0,46.0,33.0,32.0,31.0,36.0,40.0,39.0,40.0,42.0,46.0,49.0,58.0,36.0,44.0,48.0,43.0,36.0,39.0,32.0,33.0,46.0,51.0,49.0,49.0,36.0,36.0,34.0,33.0,41.0,38.0,60.0,44.0,32.0,42.0,361.0,55.0,163.0,106.0,57.0,42.0,104.0,46.0,50.0,50.0,42.0,55.0,41.0,79.0,
37.0,33.0,39.0,37.0,40.0,55.0,51.0,49.0,49.0,39.0,31.0,29.0,31.0,35.0,36.0,52.0,35.0,38.0,56.0,41.0,33.0,43.0,46.0,46.0,37.0,41.0,43.0,47.0,33.0,30.0,48.0,37.0,35.0,40.0,42.0,45.0,36.0,31.0,47.0,39.0,76.0,49.0,66.0,33.0,29.0,73.0,59.0,59.0,38.0,44.0,44.0,77.0,77.0,63.0,64.0,57.0,34.0,41.0,39.0,32.0,33.0,26.0,40.0,40.0,
50.0,35.0,80.0,51.0,133.0,89.0,50.0,51.0,57.0,43.0,84.0,36.0,36.0,41.0,31.0,30.0,32.0,34.0,51.0,29.0,35.0,37.0,36.0,68.0,61.0,44.0,34.0,37.0,39.0,38.0,34.0,173.0,104.0,59.0,36.0,57.0,55.0,96.0,36.0,59.0,37.0,72.0,43.0,32.0,45.0,35.0,39.0,48.0,32.0,40.0,40.0,51.0,43.0,54.0,59.0,59.0,39.0,45.0,30.0,39.0,43.0,36.0,36.0,49.0,
49.0,51.0,51.0,42.0,31.0,40.0,70.0,36.0,36.0,32.0,64.0,96.0,60.0,36.0,30.0,28.0,32.0,37.0,40.0,38.0,30.0,46.0,47.0,32.0,56.0,59.0,28.0,41.0,65.0,32.0,27.0,32.0,38.0,54.0,138.0,55.0,62.0,40.0,42.0,77.0,43.0,38.0,81.0,40.0,99.0,94.0,36.0,28.0,25.0,32.0,57.0,33.0,37.0,67.0,97.0,88.0,36.0,45.0,48.0,59.0,76.0,60.0,43.0,34.0,
51.0,102.0,37.0,31.0,38.0,38.0,58.0,48.0,35.0,32.0,35.0,131.0,54.0,37.0,87.0,28.0,48.0,34.0,36.0,157.0,103.0,34.0,44.0,40.0,56.0,77.0,50.0,59.0,43.0,44.0,30.0,33.0,42.0,46.0,88.0,80.0,31.0,34.0,66.0,64.0,47.0,35.0,38.0,97.0,52.0,57.0,91.0,136.0,34.0,32.0,48.0,58.0,80.0,39.0,32.0,31.0,52.0,36.0,31.0,60.0,38.0,36.0,32.0,35.0,
31.0,41.0,32.0,43.0,39.0,59.0,32.0,38.0,33.0,34.0,29.0,33.0,38.0,38.0,30.0,65.0,41.0,56.0,40.0,71.0,70.0,63.0,59.0,73.0,42.0,43.0,53.0,60.0,35.0,38.0,57.0,38.0,88.0,33.0,32.0,37.0,42.0,87.0,88.0,33.0,30.0,32.0,33.0,46.0,37.0,38.0,44.0,48.0,40.0,40.0,32.0,34.0,36.0,36.0,31.0,31.0,30.0,30.0,32.0,44.0,56.0,45.0,44.0,39.0,
31.0,39.0,40.0,29.0,35.0,42.0,42.0,45.0,29.0,41.0,35.0,36.0,30.0,39.0,41.0,35.0,35.0,44.0,41.0,38.0,117.0,114.0,116.0,78.0,92.0,129.0,46.0,109.0,95.0,138.0,39.0,32.0,36.0,40.0,60.0,46.0,37.0,36.0,44.0,32.0,53.0,41.0,43.0,42.0,87.0,37.0,95.0,57.0,42.0,36.0,36.0,39.0,38.0,32.0,47.0,41.0,57.0,102.0,50.0,53.0,47.0,34.0,48.0,48.0,
54.0,87.0,71.0,77.0,45.0,40.0,47.0,40.0,40.0,41.0,38.0,61.0,58.0,38.0,92.0,63.0,92.0,41.0,41.0,47.0,34.0,29.0,35.0,51.0,54.0,69.0,46.0,36.0,39.0,34.0,48.0,34.0,34.0,50.0,32.0,45.0,62.0,44.0,36.0,43.0,32.0,50.0,35.0,83.0,88.0,30.0,95.0,53.0,28.0,39.0,46.0,40.0,37.0,34.0,29.0,34.0,41.0,37.0,44.0,44.0,32.0,46.0,59.0,91.0,
35.0,56.0,88.0,58.0,84.0,80.0,35.0,61.0,38.0,36.0,36.0,72.0,38.0,44.0,44.0,79.0,43.0,35.0,56.0,53.0,65.0,72.0,42.0,53.0,41.0,42.0,35.0,35.0,32.0,29.0,28.0,34.0,42.0,51.0,41.0,36.0,36.0,32.0,55.0,63.0,61.0,38.0,34.0,32.0,44.0,43.0,42.0,42.0,36.0,30.0,53.0,36.0,45.0,39.0,36.0,32.0,30.0,37.0,48.0,55.0,55.0,30.0,55.0,47.0,
