64.0,121.0,46.0,48.0,42.0,50.0,60.0,92.0,47.0,107.0,90.0,108.0,137.0,54.0,79.0,47.0,
66.0,52.0,59.0,58.0,59.0,56.0,79.0,200.0,44.0,66.0,49.0,178.0,55.0,75.0,72.0,48.0,
57.0,111.0,108.0,99.0,109.0,67.0,70.0,105.0,78.0,65.0,177.0,63.0,144.0,67.0,62.0,56.0,
51.0,45.0,53.0,52.0,60.0,60.0,67.0,53.0,49.0,47.0,62.0,60.0,73.0,47.0,55.0,47.0,
48.0,63.0,87.0,83.0,49.0,44.0,62.0,53.0,59.0,64.0,80.0,88.0,61.0,63.0,68.0,68.0,
92.0,100.0,76.0,52.0,83.0,72.0,131.0,106.0,86.0,59.0,47.0,104.0,67.0,86.0,67.0,61.0,
95.0,62.0,44.0,60.0,101.0,57.0,83.0,56.0,63.0,63.0,46.0,50.0,70.0,107.0,84.0,55.0,
318.0,76.0,70.0,80.0,168.0,154.0,97.0,49.0,51.0,61.0,55.0,69.0,64.0,139.0,52.0,58.0,
70.0,101.0,105.0,79.0,52.0,59.0,56.0,155.0,109.0,50.0,62.0,149.0,126.0,144.0,52.0,53.0,
532.0,59.0,75.0,103.0,92.0,53.0,44.0,48.0,53.0,46.0,46.0,60.0,51.0,64.0,83.0,66.0,
