768.0,45.0,36.0,44.0,34.0,44.0,38.0,38.0,42.0,35.0,62.0,43.0,37.0,39.0,50.0,34.0,36.0,41.0,56.0,34.0,45.0,31.0,78.0,44.0,53.0,42.0,37.0,46.0,66.0,45.0,46.0,71.0,33.0,39.0,72.0,61.0,34.0,48.0,38.0,36.0,39.0,43.0,36.0,43.0,43.0,40.0,59.0,48.0,79.0,63.0,35.0,51.0,143.0,138.0,208.0,161.0,70.0,38.0,68.0,107.0,51.0,54.0,53.0,91.0,85.0,43.0,73.0,71.0,51.0,74.0,57.0,82.0,283.0,42.0,66.0,85.0,51.0,48.0,98.0,69.0,41.0,37.0,49.0,47.0,39.0,33.0,54.0,43.0,89.0,140.0,76.0,56.0,60.0,59.0,53.0,42.0,40.0,48.0,40.0,44.0,39.0,49.0,64.0,117.0,270.0,54.0,174.0,46.0,116.0,72.0,88.0,37.0,33.0,46.0,37.0,66.0,46.0,46.0,37.0,42.0,39.0,43.0,43.0,35.0,86.0,37.0,56.0,49.0,
38.0,37.0,45.0,48.0,41.0,51.0,38.0,52.0,45.0,42.0,45.0,44.0,62.0,99.0,169.0,108.0,82.0,81.0,118.0,175.0,80.0,102.0,167.0,53.0,219.0,94.0,39.0,39.0,73.0,55.0,38.0,163.0,124.0,57.0,57.0,42.0,39.0,41.0,45.0,42.0,42.0,35.0,38.0,36.0,43.0,42.0,41.0,44.0,46.0,46.0,43.0,114.0,83.0,38.0,37.0,40.0,57.0,41.0,83.0,43.0,39.0,40.0,60.0,52.0,52.0,86.0,45.0,44.0,37.0,53.0,73.0,49.0,40.0,39.0,32.0,33.0,32.0,39.0,43.0,47.0,44.0,47.0,45.0,65.0,39.0,35.0,40.0,57.0,37.0,34.0,47.0,33.0,39.0,40.0,56.0,40.0,47.0,40.0,38.0,44.0,45.0,54.0,53.0,44.0,31.0,33.0,40.0,41.0,55.0,37.0,44.0,47.0,32.0,81.0,38.0,32.0,40.0,41.0,39.0,66.0,47.0,39.0,40.0,36.0,43.0,38.0,35.0,35.0,
46.0,66.0,143.0,92.0,209.0,153.0,42.0,39.0,44.0,51.0,49.0,47.0,66.0,46.0,45.0,49.0,54.0,36.0,58.0,43.0,53.0,36.0,39.0,44.0,43.0,57.0,36.0,41.0,44.0,42.0,50.0,35.0,60.0,50.0,64.0,63.0,37.0,40.0,41.0,43.0,65.0,37.0,73.0,52.0,63.0,38.0,44.0,45.0,34.0,35.0,38.0,32.0,44.0,41.0,50.0,43.0,54.0,53.0,34.0,55.0,37.0,47.0,41.0,50.0,51.0,57.0,53.0,55.0,71.0,78.0,44.0,51.0,35.0,54.0,169.0,63.0,171.0,106.0,80.0,117.0,76.0,38.0,39.0,62.0,52.0,42.0,44.0,40.0,46.0,110.0,66.0,103.0,45.0,67.0,193.0,41.0,41.0,40.0,55.0,42.0,58.0,35.0,43.0,64.0,39.0,61.0,46.0,52.0,58.0,52.0,33.0,42.0,43.0,44.0,35.0,43.0,56.0,31.0,41.0,62.0,44.0,56.0,38.0,34.0,47.0,46.0,61.0,50.0,
44.0,42.0,79.0,40.0,40.0,38.0,45.0,41.0,30.0,61.0,51.0,38.0,35.0,40.0,35.0,39.0,44.0,42.0,52.0,35.0,84.0,121.0,60.0,36.0,35.0,46.0,38.0,39.0,40.0,94.0,47.0,205.0,479.0,106.0,107.0,186.0,82.0,56.0,45.0,49.0,37.0,39.0,41.0,33.0,35.0,64.0,44.0,55.0,63.0,33.0,34.0,33.0,36.0,38.0,37.0,39.0,41.0,33.0,38.0,95.0,52.0,30.0,33.0,48.0,40.0,38.0,58.0,36.0,43.0,48.0,46.0,51.0,45.0,32.0,31.0,40.0,60.0,31.0,49.0,42.0,33.0,37.0,29.0,37.0,42.0,48.0,37.0,105.0,37.0,40.0,41.0,45.0,48.0,78.0,109.0,78.0,33.0,34.0,29.0,34.0,31.0,52.0,61.0,132.0,48.0,42.0,45.0,38.0,47.0,38.0,35.0,388.0,40.0,552.0,64.0,106.0,204.0,44.0,42.0,33.0,50.0,44.0,46.0,142.0,81.0,39.0,48.0,52.0,
68.0,37.0,41.0,89.0,95.0,108.0,31.0,72.0,42.0,67.0,52.0,38.0,46.0,84.0,48.0,58.0,34.0,56.0,49.0,50.0,85.0,44.0,102.0,65.0,50.0,54.0,29.0,36.0,52.0,49.0,44.0,40.0,66.0,42.0,45.0,35.0,33.0,34.0,35.0,98.0,47.0,65.0,59.0,44.0,40.0,54.0,55.0,48.0,51.0,74.0,121.0,158.0,47.0,40.0,33.0,83.0,37.0,42.0,95.0,66.0,53.0,55.0,58.0,45.0,37.0,40.0,42.0,43.0,37.0,41.0,39.0,31.0,63.0,34.0,47.0,41.0,54.0,34.0,42.0,45.0,33.0,62.0,50.0,52.0,44.0,44.0,34.0,36.0,37.0,47.0,75.0,77.0,130.0,59.0,35.0,43.0,33.0,37.0,42.0,51.0,116.0,43.0,53.0,36.0,42.0,51.0,30.0,56.0,44.0,66.0,36.0,60.0,140.0,31.0,35.0,34.0,41.0,34.0,50.0,50.0,125.0,36.0,35.0,52.0,65.0,39.0,53.0,58.0,
31.0,41.0,104.0,109.0,66.0,37.0,32.0,31.0,60.0,29.0,36.0,42.0,32.0,39.0,62.0,32.0,36.0,26.0,36.0,39.0,36.0,39.0,30.0,34.0,40.0,34.0,32.0,37.0,33.0,28.0,40.0,37.0,53.0,38.0,36.0,81.0,56.0,40.0,82.0,35.0,36.0,32.0,39.0,60.0,30.0,65.0,33.0,57.0,28.0,57.0,38.0,43.0,41.0,50.0,50.0,38.0,39.0,48.0,85.0,37.0,63.0,45.0,67.0,45.0,34.0,42.0,39.0,39.0,30.0,35.0,51.0,82.0,51.0,90.0,45.0,31.0,71.0,41.0,99.0,180.0,58.0,56.0,67.0,62.0,36.0,58.0,47.0,36.0,171.0,330.0,58.0,195.0,62.0,43.0,33.0,50.0,101.0,39.0,42.0,77.0,40.0,33.0,40.0,58.0,65.0,54.0,110.0,36.0,77.0,44.0,40.0,50.0,45.0,39.0,50.0,39.0,43.0,39.0,48.0,35.0,52.0,53.0,36.0,37.0,33.0,59.0,38.0,45.0,
37.0,50.0,41.0,35.0,52.0,48.0,44.0,32.0,52.0,41.0,47.0,36.0,48.0,48.0,55.0,143.0,39.0,42.0,69.0,62.0,31.0,30.0,53.0,158.0,41.0,47.0,46.0,45.0,72.0,37.0,36.0,38.0,40.0,49.0,48.0,56.0,41.0,66.0,60.0,43.0,37.0,433.0,36.0,38.0,57.0,49.0,55.0,58.0,37.0,38.0,50.0,44.0,55.0,39.0,50.0,42.0,58.0,88.0,45.0,66.0,50.0,42.0,49.0,31.0,46.0,32.0,43.0,82.0,47.0,30.0,42.0,51.0,75.0,51.0,38.0,51.0,99.0,99.0,54.0,63.0,35.0,52.0,40.0,46.0,41.0,56.0,38.0,47.0,63.0,71.0,39.0,38.0,44.0,45.0,34.0,36.0,46.0,66.0,45.0,42.0,62.0,55.0,36.0,33.0,58.0,37.0,70.0,33.0,46.0,84.0,34.0,54.0,41.0,40.0,27.0,44.0,47.0,41.0,50.0,122.0,73.0,48.0,45.0,43.0,45.0,46.0,48.0,156.0,
48.0,60.0,38.0,103.0,42.0,56.0,47.0,96.0,81.0,72.0,55.0,32.0,51.0,53.0,56.0,32.0,52.0,76.0,45.0,49.0,144.0,36.0,28.0,42.0,54.0,57.0,28.0,285.0,99.0,41.0,76.0,43.0,99.0,31.0,42.0,191.0,175.0,75.0,32.0,97.0,279.0,316.0,340.0,45.0,42.0,53.0,81.0,234.0,60.0,100.0,96.0,164.0,167.0,68.0,55.0,284.0,64.0,81.0,37.0,68.0,79.0,53.0,337.0,163.0,51.0,87.0,81.0,84.0,84.0,221.0,359.0,114.0,147.0,32.0,164.0,450.0,60.0,57.0,89.0,52.0,140.0,336.0,1313.0,85.0,329.0,160.0,102.0,44.0,55.0,53.0,231.0,42.0,35.0,50.0,88.0,73.0,60.0,178.0,37.0,42.0,47.0,50.0,53.0,118.0,179.0,90.0,86.0,119.0,44.0,96.0,175.0,179.0,227.0,72.0,60.0,191.0,47.0,188.0,64.0,121.0,350.0,38.0,452.0,47.0,177.0,66.0,48.0,707.0,
48.0,42.0,31.0,90.0,44.0,100.0,111.0,75.0,44.0,48.0,59.0,93.0,64.0,62.0,48.0,46.0,43.0,169.0,316.0,43.0,61.0,354.0,61.0,43.0,217.0,335.0,267.0,121.0,52.0,179.0,64.0,48.0,39.0,74.0,235.0,166.0,73.0,86.0,48.0,54.0,51.0,81.0,50.0,44.0,49.0,52.0,79.0,72.0,54.0,44.0,32.0,59.0,62.0,116.0,73.0,48.0,46.0,41.0,42.0,381.0,164.0,41.0,49.0,32.0,60.0,65.0,41.0,62.0,51.0,51.0,39.0,87.0,57.0,55.0,102.0,121.0,60.0,216.0,138.0,109.0,294.0,39.0,226.0,105.0,56.0,50.0,240.0,42.0,46.0,76.0,48.0,93.0,59.0,99.0,38.0,49.0,92.0,46.0,42.0,69.0,59.0,59.0,41.0,89.0,70.0,39.0,37.0,41.0,47.0,78.0,36.0,38.0,80.0,144.0,74.0,35.0,51.0,59.0,78.0,84.0,97.0,47.0,38.0,44.0,50.0,59.0,61.0,51.0,
120.0,76.0,47.0,32.0,72.0,113.0,45.0,241.0,62.0,32.0,61.0,47.0,37.0,30.0,38.0,37.0,123.0,33.0,46.0,42.0,30.0,43.0,39.0,93.0,62.0,93.0,36.0,52.0,52.0,40.0,67.0,47.0,59.0,51.0,78.0,41.0,66.0,98.0,31.0,44.0,298.0,42.0,39.0,52.0,44.0,43.0,42.0,47.0,45.0,40.0,51.0,48.0,40.0,46.0,37.0,44.0,45.0,42.0,38.0,43.0,45.0,40.0,37.0,42.0,107.0,58.0,59.0,63.0,82.0,52.0,60.0,95.0,75.0,35.0,34.0,53.0,42.0,44.0,61.0,42.0,124.0,64.0,51.0,54.0,135.0,124.0,54.0,39.0,86.0,100.0,137.0,84.0,114.0,183.0,42.0,57.0,76.0,89.0,74.0,96.0,31.0,31.0,33.0,41.0,83.0,70.0,58.0,251.0,454.0,54.0,126.0,45.0,68.0,77.0,74.0,40.0,30.0,103.0,78.0,37.0,36.0,45.0,69.0,97.0,107.0,37.0,35.0,48.0,
