52.0,44.0,60.0,43.0,53.0,90.0,149.0,139.0,80.0,92.0,57.0,44.0,66.0,94.0,52.0,68.0,
86.0,93.0,112.0,200.0,50.0,66.0,116.0,61.0,56.0,115.0,46.0,58.0,42.0,134.0,50.0,73.0,
56.0,59.0,64.0,64.0,64.0,61.0,58.0,94.0,59.0,46.0,46.0,62.0,75.0,73.0,75.0,81.0,
56.0,169.0,47.0,39.0,104.0,75.0,186.0,72.0,52.0,48.0,163.0,53.0,54.0,56.0,39.0,68.0,
45.0,77.0,97.0,41.0,68.0,71.0,75.0,49.0,54.0,48.0,70.0,54.0,43.0,70.0,93.0,107.0,
52.0,42.0,167.0,66.0,78.0,62.0,67.0,78.0,82.0,62.0,80.0,111.0,98.0,44.0,43.0,42.0,
43.0,46.0,48.0,93.0,49.0,47.0,64.0,47.0,66.0,54.0,50.0,77.0,53.0,57.0,47.0,59.0,
46.0,50.0,52.0,242.0,143.0,117.0,51.0,143.0,98.0,107.0,42.0,45.0,40.0,58.0,63.0,54.0,
87.0,51.0,47.0,102.0,98.0,105.0,101.0,65.0,101.0,40.0,54.0,102.0,79.0,64.0,100.0,51.0,
45.0,58.0,48.0,61.0,45.0,55.0,123.0,66.0,92.0,69.0,78.0,138.0,98.0,44.0,102.0,49.0,
