4061.0,638.0,184.0,55.0,75.0,45.0,78.0,110.0,125.0,43.0,101.0,69.0,324.0,35.0,37.0,51.0,38.0,79.0,142.0,74.0,52.0,48.0,35.0,37.0,33.0,39.0,141.0,103.0,39.0,43.0,37.0,68.0,96.0,351.0,178.0,336.0,46.0,58.0,61.0,75.0,292.0,46.0,44.0,94.0,95.0,278.0,75.0,46.0,69.0,434.0,97.0,51.0,54.0,158.0,94.0,55.0,56.0,45.0,114.0,133.0,50.0,44.0,73.0,33.0,96.0,52.0,111.0,43.0,43.0,34.0,64.0,76.0,41.0,66.0,54.0,85.0,90.0,43.0,119.0,44.0,46.0,51.0,54.0,244.0,103.0,107.0,57.0,113.0,40.0,77.0,45.0,44.0,42.0,87.0,118.0,105.0,44.0,53.0,44.0,76.0,55.0,46.0,61.0,42.0,145.0,91.0,39.0,34.0,37.0,48.0,88.0,208.0,79.0,54.0,46.0,95.0,57.0,302.0,117.0,126.0,229.0,128.0,351.0,49.0,36.0,117.0,44.0,56.0,
39.0,35.0,50.0,38.0,49.0,39.0,36.0,44.0,57.0,82.0,69.0,38.0,33.0,36.0,46.0,75.0,39.0,77.0,47.0,44.0,49.0,39.0,41.0,44.0,131.0,109.0,128.0,238.0,148.0,265.0,87.0,108.0,69.0,186.0,38.0,105.0,58.0,49.0,37.0,99.0,186.0,117.0,55.0,97.0,170.0,74.0,35.0,43.0,42.0,41.0,36.0,86.0,42.0,75.0,46.0,40.0,41.0,40.0,77.0,42.0,54.0,61.0,96.0,161.0,78.0,42.0,52.0,58.0,42.0,49.0,86.0,38.0,53.0,43.0,47.0,52.0,45.0,68.0,51.0,98.0,92.0,42.0,64.0,40.0,37.0,44.0,44.0,268.0,37.0,34.0,126.0,107.0,41.0,39.0,497.0,93.0,172.0,42.0,198.0,200.0,162.0,50.0,63.0,52.0,41.0,34.0,140.0,39.0,42.0,91.0,67.0,60.0,79.0,201.0,43.0,46.0,47.0,75.0,54.0,41.0,61.0,57.0,42.0,37.0,51.0,43.0,43.0,51.0,
54.0,71.0,119.0,74.0,42.0,38.0,57.0,52.0,90.0,56.0,39.0,139.0,176.0,124.0,128.0,116.0,53.0,71.0,138.0,183.0,83.0,49.0,67.0,111.0,389.0,63.0,75.0,45.0,46.0,87.0,45.0,42.0,36.0,43.0,45.0,40.0,56.0,38.0,45.0,37.0,101.0,145.0,41.0,48.0,66.0,45.0,45.0,76.0,80.0,60.0,40.0,59.0,38.0,39.0,53.0,71.0,195.0,80.0,39.0,33.0,44.0,50.0,56.0,41.0,37.0,64.0,102.0,35.0,34.0,60.0,36.0,58.0,47.0,74.0,111.0,67.0,61.0,85.0,62.0,147.0,86.0,45.0,45.0,56.0,56.0,82.0,56.0,66.0,106.0,75.0,79.0,43.0,37.0,102.0,46.0,38.0,167.0,37.0,36.0,45.0,81.0,84.0,337.0,40.0,48.0,42.0,141.0,80.0,128.0,130.0,60.0,49.0,36.0,49.0,122.0,90.0,46.0,74.0,64.0,218.0,75.0,65.0,193.0,391.0,83.0,100.0,37.0,35.0,
47.0,33.0,37.0,43.0,83.0,69.0,50.0,38.0,45.0,114.0,56.0,93.0,51.0,76.0,46.0,44.0,61.0,99.0,40.0,43.0,73.0,90.0,165.0,54.0,44.0,45.0,47.0,58.0,36.0,80.0,52.0,40.0,67.0,129.0,44.0,43.0,34.0,37.0,35.0,38.0,71.0,72.0,64.0,50.0,47.0,50.0,41.0,32.0,34.0,32.0,60.0,59.0,55.0,41.0,32.0,45.0,31.0,43.0,34.0,36.0,35.0,31.0,26.0,43.0,40.0,26.0,36.0,42.0,38.0,42.0,37.0,31.0,30.0,34.0,29.0,50.0,29.0,38.0,33.0,35.0,31.0,42.0,71.0,41.0,27.0,28.0,29.0,112.0,33.0,74.0,136.0,103.0,58.0,44.0,41.0,76.0,291.0,46.0,26.0,73.0,38.0,44.0,107.0,41.0,85.0,127.0,103.0,72.0,34.0,40.0,29.0,78.0,38.0,37.0,37.0,36.0,46.0,111.0,91.0,40.0,51.0,43.0,35.0,52.0,93.0,30.0,37.0,36.0,
44.0,52.0,73.0,159.0,47.0,87.0,48.0,137.0,125.0,124.0,48.0,30.0,30.0,42.0,53.0,48.0,47.0,47.0,140.0,37.0,28.0,35.0,32.0,43.0,27.0,35.0,34.0,60.0,108.0,60.0,73.0,32.0,37.0,33.0,52.0,119.0,200.0,42.0,41.0,39.0,35.0,83.0,54.0,74.0,75.0,43.0,68.0,30.0,30.0,36.0,37.0,34.0,45.0,42.0,60.0,45.0,42.0,88.0,43.0,31.0,34.0,41.0,68.0,35.0,36.0,48.0,30.0,34.0,41.0,90.0,41.0,58.0,30.0,36.0,60.0,54.0,106.0,99.0,33.0,41.0,38.0,34.0,31.0,61.0,97.0,45.0,47.0,85.0,146.0,41.0,74.0,87.0,90.0,90.0,48.0,39.0,36.0,45.0,35.0,66.0,54.0,40.0,37.0,35.0,122.0,44.0,48.0,35.0,38.0,34.0,65.0,359.0,49.0,34.0,84.0,52.0,34.0,66.0,56.0,73.0,63.0,109.0,173.0,33.0,35.0,78.0,30.0,31.0,
41.0,34.0,36.0,40.0,65.0,38.0,53.0,39.0,59.0,37.0,36.0,32.0,35.0,36.0,34.0,42.0,40.0,42.0,34.0,55.0,35.0,54.0,39.0,42.0,31.0,34.0,39.0,33.0,32.0,57.0,33.0,31.0,36.0,36.0,35.0,38.0,51.0,28.0,32.0,42.0,41.0,40.0,35.0,63.0,51.0,45.0,54.0,33.0,43.0,33.0,50.0,29.0,43.0,29.0,35.0,38.0,32.0,34.0,50.0,38.0,41.0,44.0,39.0,39.0,51.0,37.0,27.0,47.0,38.0,53.0,39.0,47.0,184.0,162.0,38.0,29.0,109.0,124.0,45.0,35.0,31.0,35.0,30.0,31.0,95.0,46.0,98.0,42.0,53.0,32.0,76.0,60.0,41.0,47.0,40.0,37.0,39.0,29.0,49.0,39.0,38.0,62.0,35.0,31.0,35.0,35.0,33.0,32.0,34.0,36.0,32.0,52.0,42.0,38.0,54.0,40.0,36.0,32.0,47.0,34.0,32.0,33.0,34.0,30.0,84.0,52.0,70.0,54.0,
29.0,47.0,36.0,53.0,41.0,74.0,56.0,40.0,54.0,49.0,36.0,36.0,54.0,42.0,56.0,40.0,63.0,41.0,46.0,87.0,74.0,38.0,60.0,35.0,35.0,31.0,36.0,76.0,99.0,167.0,30.0,135.0,31.0,35.0,36.0,64.0,41.0,54.0,36.0,35.0,52.0,34.0,37.0,68.0,34.0,53.0,47.0,45.0,36.0,50.0,36.0,39.0,28.0,37.0,79.0,82.0,66.0,64.0,78.0,49.0,51.0,37.0,32.0,35.0,34.0,52.0,32.0,38.0,35.0,30.0,43.0,59.0,72.0,47.0,42.0,37.0,51.0,124.0,72.0,121.0,28.0,33.0,36.0,44.0,29.0,33.0,48.0,36.0,135.0,32.0,28.0,38.0,35.0,36.0,34.0,40.0,34.0,36.0,56.0,37.0,45.0,52.0,94.0,57.0,32.0,39.0,29.0,28.0,36.0,36.0,50.0,35.0,30.0,46.0,38.0,72.0,163.0,30.0,42.0,53.0,56.0,88.0,32.0,42.0,36.0,41.0,42.0,34.0,
33.0,72.0,38.0,35.0,37.0,47.0,43.0,32.0,38.0,29.0,41.0,36.0,35.0,48.0,64.0,42.0,37.0,40.0,35.0,56.0,43.0,36.0,34.0,36.0,36.0,42.0,37.0,66.0,45.0,113.0,32.0,37.0,28.0,34.0,63.0,34.0,64.0,62.0,60.0,84.0,34.0,29.0,31.0,37.0,30.0,33.0,62.0,36.0,34.0,37.0,33.0,35.0,41.0,42.0,33.0,43.0,36.0,31.0,36.0,33.0,37.0,34.0,37.0,47.0,28.0,42.0,42.0,43.0,43.0,33.0,40.0,34.0,45.0,36.0,27.0,33.0,189.0,126.0,90.0,104.0,46.0,366.0,153.0,68.0,97.0,170.0,37.0,25.0,41.0,29.0,31.0,36.0,85.0,56.0,28.0,45.0,40.0,71.0,28.0,34.0,111.0,44.0,33.0,60.0,36.0,34.0,69.0,31.0,65.0,35.0,61.0,39.0,30.0,28.0,38.0,28.0,29.0,33.0,36.0,45.0,30.0,43.0,35.0,30.0,33.0,35.0,44.0,44.0,
45.0,76.0,38.0,39.0,31.0,46.0,29.0,36.0,61.0,31.0,103.0,34.0,82.0,34.0,31.0,41.0,33.0,34.0,35.0,39.0,59.0,59.0,36.0,39.0,115.0,34.0,29.0,38.0,48.0,126.0,55.0,46.0,31.0,82.0,114.0,32.0,37.0,36.0,47.0,60.0,55.0,88.0,230.0,35.0,36.0,31.0,48.0,123.0,31.0,26.0,31.0,39.0,31.0,40.0,30.0,36.0,32.0,37.0,36.0,44.0,33.0,34.0,32.0,32.0,51.0,42.0,30.0,29.0,33.0,36.0,36.0,36.0,67.0,59.0,37.0,35.0,99.0,69.0,42.0,34.0,30.0,32.0,35.0,47.0,43.0,82.0,45.0,63.0,45.0,35.0,35.0,30.0,34.0,46.0,35.0,36.0,95.0,81.0,61.0,56.0,37.0,82.0,28.0,34.0,32.0,43.0,69.0,54.0,36.0,32.0,47.0,26.0,37.0,38.0,27.0,36.0,80.0,43.0,182.0,111.0,38.0,41.0,31.0,25.0,93.0,32.0,68.0,27.0,
55.0,43.0,32.0,42.0,53.0,40.0,37.0,116.0,45.0,34.0,60.0,58.0,40.0,77.0,65.0,30.0,40.0,37.0,39.0,33.0,38.0,47.0,51.0,65.0,71.0,38.0,39.0,37.0,32.0,36.0,38.0,34.0,43.0,45.0,90.0,119.0,33.0,36.0,28.0,39.0,80.0,228.0,28.0,51.0,58.0,51.0,66.0,128.0,199.0,33.0,35.0,37.0,35.0,47.0,38.0,33.0,45.0,40.0,85.0,30.0,99.0,36.0,42.0,51.0,82.0,83.0,58.0,69.0,107.0,49.0,38.0,34.0,43.0,58.0,63.0,44.0,46.0,40.0,33.0,35.0,30.0,33.0,33.0,32.0,45.0,30.0,35.0,37.0,29.0,37.0,60.0,83.0,30.0,34.0,30.0,37.0,47.0,106.0,35.0,80.0,38.0,45.0,32.0,33.0,36.0,30.0,37.0,30.0,32.0,44.0,33.0,39.0,74.0,152.0,34.0,30.0,33.0,37.0,38.0,40.0,45.0,54.0,142.0,35.0,40.0,57.0,35.0,42.0,
